filename,TP,FP,FN,Precision (%),Recall (%),F1 Score (%)
artificialNoAnomaly/art_daily_no_noise.csv,0,300,0,0.0,0.0,0.0
artificialNoAnomaly/art_daily_perfect_square_wave.csv,0,12,0,0.0,0.0,0.0
artificialNoAnomaly/art_daily_small_noise.csv,0,329,0,0.0,0.0,0.0
artificialNoAnomaly/art_flatline.csv,0,0,0,0.0,0.0,0.0
artificialNoAnomaly/art_noisy.csv,0,510,0,0.0,0.0,0.0
artificialWithAnomaly/art_daily_flatmiddle.csv,52,306,351,14.53,12.9,13.67
artificialWithAnomaly/art_daily_jumpsdown.csv,15,322,388,4.45,3.72,4.05
artificialWithAnomaly/art_daily_jumpsup.csv,124,173,279,41.75,30.77,35.43
artificialWithAnomaly/art_daily_nojump.csv,7,323,396,2.12,1.74,1.91
artificialWithAnomaly/art_increase_spike_density.csv,63,477,340,11.67,15.63,13.36
artificialWithAnomaly/art_load_balancer_spikes.csv,131,375,272,25.89,32.51,28.82
realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,47,257,355,15.46,11.69,13.31
realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,103,502,299,17.02,25.62,20.46
realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,21,93,381,18.42,5.22,8.14
realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,36,284,367,11.25,8.93,9.96
realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,163,1498,180,9.81,47.52,16.27
realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0,0,403,0.0,0.0,0.0
realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0,522,0,0.0,0.0,0.0
realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,71,163,334,30.34,17.53,22.22
realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,40,246,433,13.99,8.46,10.54
realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,62,385,343,13.87,15.31,14.55
realAWSCloudwatch/ec2_network_in_257a54.csv,41,101,362,28.87,10.17,15.05
realAWSCloudwatch/ec2_network_in_5abac7.csv,85,296,389,22.31,17.93,19.88
realAWSCloudwatch/elb_request_count_8c0756.csv,140,1368,262,9.28,34.83,14.66
realAWSCloudwatch/grok_asg_anomaly.csv,300,2521,165,10.63,64.52,18.26
realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0,0,126,0.0,0.0,0.0
realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,312,862,90,26.58,77.61,39.59
realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,306,2830,96,9.76,76.12,17.3
realAdExchange/exchange-2_cpc_results.csv,11,25,285,30.56,3.72,6.63
realAdExchange/exchange-2_cpm_results.csv,0,0,265,0.0,0.0,0.0
realAdExchange/exchange-3_cpc_results.csv,48,6,188,88.89,20.34,33.1
realAdExchange/exchange-3_cpm_results.csv,5,69,300,6.76,1.64,2.64
realAdExchange/exchange-4_cpc_results.csv,195,545,137,26.35,58.73,36.38
realAdExchange/exchange-4_cpm_results.csv,106,453,140,18.96,43.09,26.34
realKnownCause/ambient_temperature_system_failure.csv,59,430,1475,12.07,3.85,5.83
realKnownCause/cpu_utilization_asg_misconfiguration.csv,1201,529,1796,69.42,40.07,50.81
realKnownCause/ec2_request_latency_system_failure.csv,106,935,239,10.18,30.72,15.3
realKnownCause/machine_temperature_system_failure.csv,0,431,2268,0.0,0.0,0.0
realKnownCause/nyc_taxi.csv,0,0,2242,0.0,0.0,0.0
realKnownCause/rogue_agent_key_hold.csv,154,861,36,15.17,81.05,25.56
realKnownCause/rogue_agent_key_updown.csv,11,88,519,11.11,2.08,3.5
realTraffic/TravelTime_387.csv,99,682,291,12.68,25.38,16.91
realTraffic/TravelTime_451.csv,78,307,344,20.26,18.48,19.33
realTraffic/occupancy_6005.csv,113,550,126,17.04,47.28,25.06
realTraffic/occupancy_t4013.csv,81,229,169,26.13,32.4,28.93
realTraffic/speed_6005.csv,57,244,181,18.94,23.95,21.15
realTraffic/speed_7578.csv,70,153,46,31.39,60.34,41.3
realTraffic/speed_t4013.csv,52,605,198,7.91,20.8,11.47
realTweets/Twitter_volume_AAPL.csv,477,1561,1905,23.41,20.03,21.58
realTweets/Twitter_volume_AMZN.csv,307,1189,2545,20.52,10.76,14.12
realTweets/Twitter_volume_CRM.csv,910,2921,1745,23.75,34.27,28.06
realTweets/Twitter_volume_CVS.csv,0,0,1923,0.0,0.0,0.0
realTweets/Twitter_volume_FB.csv,17,68,2356,20.0,0.72,1.38
realTweets/Twitter_volume_GOOG.csv,942,4556,916,17.13,50.7,25.61
realTweets/Twitter_volume_IBM.csv,645,2888,1892,18.26,25.42,21.25
realTweets/Twitter_volume_KO.csv,740,1833,2434,28.76,23.31,25.75
realTweets/Twitter_volume_PFE.csv,77,260,2305,22.85,3.23,5.66
realTweets/Twitter_volume_UPS.csv,100,518,1485,16.18,6.31,9.08
